category,sub-category,scheme-category,scheme,2015-16,2016-17 (BE),2016-17 (RE),2017-18 (BE),change be-be,change re-be,description
Centrally Sponsored Schemes,Core Schemes,Integrated Child Development Services,Anganwadi Services,15433,14000,14561,15245,9%,5%,"Provides food, preschool education and primary healthcare to children under 6 and their mothers."
Centrally Sponsored Schemes,Core Schemes,Blue Revolution,Blue Revolution,200,247,392,401,62%,2%,Scheme for integrated development and management of fisheries.
Centrally Sponsored Schemes,Core Schemes,Border Area Development Programme,Border Area Development Programme,990,990,990,1100,11%,11%,Scheme to meet special developmental needs of people living in border areas.
Centrally Sponsored Schemes,Core Schemes,Integrated Child Development Services,Child Protection Scheme and Scheme for welfare of working children in need of and protection,504,400,600,650,63%,8%,"Provides food, preschool education and primary healthcare to children under 6 and their mothers."
Centrally Sponsored Schemes,Core Schemes,"Environment, Forestry and Wildlife","Environment, Forestry and Wildlife",566,850,819,962,13%,17%,
Centrally Sponsored Schemes,Core Schemes,Green Revolution,Green Revolution,9777,12560,10360,13741,9%,33%,Aimed at increasing agricultural productivity.
Centrally Sponsored Schemes,Core Schemes,National Health Mission (NHM),Human Resources for Health and Medical Education,581,600,1500,4025,571%,168%,Aimed at increasing access to affordable and quality healthcare services.
Centrally Sponsored Schemes,Core Schemes,Infrastructure Facilities for Judiciary,Infrastructure Facilities for Judiciary,566,600,544,629,5%,16%,Provides funding for construction of court buildings and residential complexes for judges.
Centrally Sponsored Schemes,Core Schemes,Jobs and Skill Development,Jobs and Skill Development,1177,2900,2450,4089,41%,67%,Aimed at training 40 crore Indians in different skills by 2022.
Centrally Sponsored Schemes,Core of the Core Schemes,Mahatma Gandhi National Rural Employment Guarantee Programme,Mahatma Gandhi National Rural Employment Guarantee Programme (MGNREGS),37341,38500,47499,48000,25%,1%,Guarantees 100 days of wage employment in a year to unemployed rural Indians willing to work.
Centrally Sponsored Schemes,Core Schemes,Integrated Child Development Services,Maternity Benefit Programme,233,400,634,2700,575%,326%,"Provides food, preschool education and primary healthcare to children under 6 and their mothers."
Centrally Sponsored Schemes,Core Schemes,Mission for Empowerment and Protection for Women,Mission for Empowerment and Protection for Women,239,907,821,1089,20%,33%,Focuses on developing frameworks that ensure equal rights and opportunities for women in society.
Centrally Sponsored Schemes,Core Schemes,Modernisation of  Police Forces,Modernisation of  Police Forces,1581,1685,2235,2022,20%,-10%,"Aimed at bolstering state police forces by building secure police stations, providing better training and equipping forces with modern weaponry."
Centrally Sponsored Schemes,Core Schemes,National Health Mission (NHM),National AYUSH Mission,331,400,400,441,10%,10%,Aimed at increasing access to affordable and quality healthcare services.
Centrally Sponsored Schemes,Core Schemes,Integrated Child Development Services,National Creche Scheme,133,150,150,200,33%,33%,"Provides food, preschool education and primary healthcare to children under 6 and their mothers."
Centrally Sponsored Schemes,Core Schemes,National Health Protection Scheme (erstwhile RSSY),National Health Protection Scheme (erstwhile RSSY),...,1500,724,1000,-33%,38%,Provides health insurance cover of 1 lakh to poor and below poverty line (BPL).
Centrally Sponsored Schemes,Core Schemes,Integrated Child Development Services,National Nutrition Mission,56,850,175,1500,76%,757%,"Provides food, preschool education and primary healthcare to children under 6 and their mothers."
Centrally Sponsored Schemes,Core Schemes,National Programme of Mid,National Programme of Mid Day Meal in Schools,9145,9700,9700,10000,3%,3%,Provides free lunches to primary and upper primary students at government schools.
Centrally Sponsored Schemes,Core Schemes,National Rural Drinking Water Mission,National Rural Drinking Water Mission,4370,5000,6000,6050,21%,1%,"Goal is to provide adequate safe water for drinking, cooking and other domestic needs to rural Indians."
Centrally Sponsored Schemes,Core Schemes,National Health Mission (NHM),National Rural Health Mission,18254,18087,19462,21189,17%,9%,Aimed at increasing access to affordable and quality healthcare services.
Centrally Sponsored Schemes,Core Schemes,National Livelihood Mission-Ajeevika,National Rural Livelihood Mission,2514,3000,3000,4500,50%,50%,Aimed at building strong grassroots institutions for poor that help access gainful self-employment and skilled wage employment opportunities.
Centrally Sponsored Schemes,Core of the Core Schemes,National Social Assistance Progamme,National Social Assistance Progamme,8616,9500,9500,9500,0%,0%,"Goal is to secure for the citizens adequate means of livelihood, raise the standard of living and take other such welfare measures."
Centrally Sponsored Schemes,Core Schemes,National Health Mission (NHM),National Urban Health Mission,717,950,575,752,-21%,31%,Aimed at increasing access to affordable and quality healthcare services.
Centrally Sponsored Schemes,Core Schemes,National Livelihood Mission-Ajeevika,National Urban Livelihood Mission,269,325,334,349,7%,4%,Aimed at building strong grassroots institutions for poor that help access gainful self-employment and skilled wage employment opportunities.
Centrally Sponsored Schemes,Core Schemes,Pradhan Mantri Awas Yojna,PMAY: Rural,10116,15000,16000,23000,53%,44%,The mission seeks to address the housing requirements of rural poor.
Centrally Sponsored Schemes,Core Schemes,Pradhan Mantri Awas Yojna,PMAY: Urban,1487,5075,4936,6043,19%,22%,The mission seeks to address the housing requirements of urban poor including slum dwellers.
Centrally Sponsored Schemes,Core Schemes,Pradhan Mantri Gram Sadak Yojna,Pradhan Mantri Gram Sadak Yojna,18290,19000,19000,19000,0%,0%,Aimed at providing all weather road connectivity in rural areas of India to improve livelihood opportunities.
Centrally Sponsored Schemes,Core Schemes,Pradhan Mantri Krishi Sinchai Yojana,Pradhan Mantri Krishi Sinchai Yojana,7781,5767,5189,7377,28%,42%,Aimed at ensuring means of protective irrigation to all agricultural farms to produce 'per drop more crop'.
Centrally Sponsored Schemes,Core Schemes,National Education Mission,Rashtriya Madhyamik Shiksha Abhiyan,3563,3700,3700,3830,4%,4%,Seeks to leverage potentional of information technology in teaching and learning for benefit of learners in higher education institutions.
Centrally Sponsored Schemes,Core Schemes,National Education Mission,Rashtriya Uchhatar Shiksha Abhiyan,926,1300,1300,1300,0%,0%,Seeks to leverage potentional of information technology in teaching and learning for benefit of learners in higher education institutions.
Centrally Sponsored Schemes,Core Schemes,National Education Mission,Sarva Shiksha Abhiyan,21661,22500,22500,23500,4%,4%,Aims at universalising elementary education in India.
Centrally Sponsored Schemes,Core Schemes,Swachh Bharat Mission (SBM),Swachh Bharat Mission (SBM): Rural,6703,9000,10500,13948,55%,33%,Aims at increasing efforts to achieve universal sanitation coverage in rural areas by building toilets.
Centrally Sponsored Schemes,Core Schemes,Swachh Bharat Mission (SBM),Swachh Bharat Mission (SBM): Urban,766,2300,2300,2300,0%,0%,Aims at increasing efforts to achieve universal sanitation coverage in rural areas by building toilets.
Centrally Sponsored Schemes,Core Schemes,Integrated Child Development Services,Scheme for Adolescent Girls,475,460,460,460,0%,0%,"Provides food, preschool education and primary healthcare to children under 6 and their mothers."
Centrally Sponsored Schemes,Core Schemes,Shyama Prasad Mukherjee Rurban Mission,Shyama Prasad Mukherjee Rurban Mission,32,300,300,1000,233%,233%,"Aimed at stimulating local economic development, enhancing basic services and creating well planned Rurban clusters."
Centrally Sponsored Schemes,Core Schemes,National Education Mission,Teachers Training and Adult Education,916,830,751,926,12%,23%,Seeks to leverage potentional of information technology in teaching and learning for benefit of learners in higher education institutions.
Centrally Sponsored Schemes,Core Schemes,National Health Mission (NHM),Tertiary Care Programmes,330,725,661,725,0%,10%,Aimed at increasing access to affordable and quality healthcare services.
Centrally Sponsored Schemes,Core of the Core Schemes,Umbrella Programme for Development of Minorities,Umbrella Programme for Development of Minorities,3810,3794,3791,4072,7%,7%,
Centrally Sponsored Schemes,Core of the Core Schemes,Umbrella Programme for Development of Other Vulnerable Groups,Umbrella Programme for Development of Other Vulnerable Groups,1240,1538,1536,1580,3%,3%,
Centrally Sponsored Schemes,Core of the Core Schemes,Umbrella Programme for Development of Scheduled Tribes,Umbrella Programme for Development of Scheduled Tribes,2934,3209,3332,3490,9%,5%,
Centrally Sponsored Schemes,Core of the Core Schemes,Umbrella Scheme for Development of Schedule Castes,Umbrella Scheme for Development of Schedule Castes,4201,4868,4883,5114,5%,5%,
Centrally Sponsored Schemes,Core Schemes,Urban Rejuvenation Mission: AMRUT-Atal Mission for Rejuvenation and Urban Transformation & Smart Cities Mission,Urban Rejuvenation Mission: AMRUT-Atal Mission for Rejuvenation and Urban Transformation & Smart Cities Mission,4186,7296,9559,9000,23%,-6%,"Aimed at providing basic services like water supply, sewerage, urban transport to households, which will improve quality of life."
Centrally Sponsored Schemes,Core Schemes,White Revolution,White Revolution,937,1138,1312,1634,44%,25%,Aimed at increasing milk and dairy production in India.
Major Central Sector Schemes,Major Central Sector Schemes,Amended Technology Upgradation Fund Scheme (ATUFS),Amended Technology Upgradation Fund Scheme (ATUFS),1393,1480,2610,2013,36%,-23%,"Aimed at improving textile sector by increasing investment, inducting state of the art technology and increasing productivity, quality and employment."
Major Central Sector Schemes,Major Central Sector Schemes,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances,205,130,170,150,15%,-12%,Aimed at providing assistance to differently abled by ensuring access to required equipment like hearing aids.
Major Central Sector Schemes,Major Central Sector Schemes,Assistance to Promotion of Sports Excellence,Assistance to Promotion of Sports Excellence,352,190,365,312,64%,-15%,Aimed at creating the infrastructure and promoting capacity building for broad-basing sports as well as for achieving excellence in various international and national competitive events.
Major Central Sector Schemes,Major Central Sector Schemes,Bharatnet,Bharatnet,...,...,6000,10000,#VALUE!,67%,Goal is to extend the existing Optical Fibre Network to 2.5 Lakh Gram Panchayats and creating an institutional mechanism for management of NOFN.
Major Central Sector Schemes,Major Central Sector Schemes,Capacity Building- Panchayat Sashaktikaran Abhiyaan (PSA),Capacity Building- Panchayat Sashaktikaran Abhiyaan (PSA),184,655,593,692,6%,17%,Aimed at strengthening India's Panchayati Raj system.
Major Central Sector Schemes,Major Central Sector Schemes,Construcution of New Lines,Construcution of New Lines,15828,13463,15160,13333,-1%,-12%,
Major Central Sector Schemes,Major Central Sector Schemes,Credit Support Programme,Credit Support Programme,71,50,2018,3002,5904%,49%,
Major Central Sector Schemes,Major Central Sector Schemes,Crop Insurance Scheme,Crop Insurance Scheme,2983,5500,13240,9000,64%,-32%,"Provides insurance cover to food crops, oilseeds and commercial crops with known yielding patters."
Major Central Sector Schemes,Major Central Sector Schemes,Deen Dayal Upadhyaya Gram Jyoti Yojna,Deen Dayal Upadhyaya Gram Jyoti Yojna,4500,3000,3350,4814,60%,44%,Aimed at strengthening Irural agriculture by providing increasing rural electrification among other steps.
Major Central Sector Schemes,Major Central Sector Schemes,Duty Drawback Scheme,Duty Drawback Scheme,1189,1200,1200,1100,-8%,-8%,It is the rebate on duty paid on imported material in manufacturing of a good that is eventually sold by an exporter. The rebate is claimed by the exporter.
Major Central Sector Schemes,Major Central Sector Schemes,e-courts Phase II,e-courts Phase II,220,286,364,416,45%,14%,Aimed at enhacing judicial governance by bolstering information technology infrastructure.
Major Central Sector Schemes,Major Central Sector Schemes,Family Welfare Schemes,Family Welfare Schemes,565,571,639,755,32%,18%,
Major Central Sector Schemes,Major Central Sector Schemes,Food processing (SAMPDA),Food processing (SAMPDA),...,564,650,725,29%,12%,Aimed at providing assistance to food processing sector.
Major Central Sector Schemes,Major Central Sector Schemes,India Post Payments Bank,India Post Payments Bank,...,150,300,500,233%,67%,
Major Central Sector Schemes,Major Central Sector Schemes,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan),Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan),310,706,972,960,36%,-1%,Aimed at developing theme based tourist circuits to increase tourism and livelihood opportunities.
Major Central Sector Schemes,Major Central Sector Schemes,Integrated Power Development Scheme,Integrated Power Development Scheme,1002,5500,4524,5821,6%,29%,Goal is to strengthen the sub-transmission and distribution system including provisioning of solar panels and IT enablement of distribution sector.
Major Central Sector Schemes,Major Central Sector Schemes,Interest Equalisation Scheme,Interest Equalisation Scheme,1100,1000,1000,1100,10%,10%,"A scheme for benefit of exporters, it will equalise pre-shipment and post-shipment rupee export credit."
Major Central Sector Schemes,Major Central Sector Schemes,Interest Subsidy and contribution for Guarantee Funds,Interest Subsidy and contribution for Guarantee Funds,1960,1950,1850,1950,0%,5%,
Major Central Sector Schemes,Major Central Sector Schemes,Interest subsidy for short term credit to farmers,Interest subsidy for short term credit to farmers,13000,15000,13619,15000,0%,10%,
Major Central Sector Schemes,Major Central Sector Schemes,Kala Sanskriti Vikas Yojana,Kala Sanskriti Vikas Yojana,538,250,240,310,24%,29%,Aimed at bolstering the Indian arts.
Major Central Sector Schemes,Major Central Sector Schemes,Khelo India,Khelo India,98,140,118,350,150%,197%,"Aimed at developing sports infrastructure in both rural and urban areas, identifying and nurturing talent."
Major Central Sector Schemes,Major Central Sector Schemes,Labour Welfare Schemes,Labour Welfare Schemes,207,302,243,380,26%,56%,
Major Central Sector Schemes,Major Central Sector Schemes,LPG connection to poor households,LPG connection to poor households,...,2000,2500,2500,25%,0%,Provides LPG at subsidized rates.
Major Central Sector Schemes,Major Central Sector Schemes,Member of Parliament Local Area Development Scheme,Member of Parliament Local Area Development Scheme,3502,3950,3950,3950,0%,0%,Goal is to enable the MPs to suggest and get executed developmental works of capital nature based on locally felt needs with emphasis on creation of durable assets.
Major Central Sector Schemes,Major Central Sector Schemes,MRTS and Metro Projects,MRTS and Metro Projects,9300,10000,15700,18000,80%,15%,Provides assistance to various metro projects across the country.
Major Central Sector Schemes,Major Central Sector Schemes,Namami Gange-National Ganga Plan,Namami Gange-National Ganga Plan,1000,2150,1441,2250,5%,56%,Aimed at Ganga rejuvenation.
Major Central Sector Schemes,Major Central Sector Schemes,National AIDS and STD Control Programme,National AIDS and STD Control Programme,1590,1700,1753,2000,18%,14%,Goal is to reduce STD cases and prevent both short and long term morbidity due to STDs.
Major Central Sector Schemes,Major Central Sector Schemes,National Coastal Zone management Programme,National Coastal Zone management Programme,116,224,342,447,100%,31%,
Major Central Sector Schemes,Major Central Sector Schemes,National Fellowship and Scholarship for Higher Education of ST Students,National Fellowship and Scholarship for Higher Education of ST Students,47,50,80,120,140%,50%,Provides financial assistance to students from scheduled castes for their education.
Major Central Sector Schemes,Major Central Sector Schemes,National Fellowship for SCs,National Fellowship for SCs,201,200,200,230,15%,15%,Provides financial assistance to students from scheduled castes for their education.
Major Central Sector Schemes,Major Central Sector Schemes,National Means cum Merit Scholarship Scheme,National Means cum Merit Scholarship Scheme,127,35,40,282,706%,605%,
Major Central Sector Schemes,Major Central Sector Schemes,National Scheme for Incentive to Girl Child for Secondary Education,National Scheme for Incentive to Girl Child for Secondary Education,154,45,45,320,611%,611%,Provides financial assistance to female students for their education.
