ministry,dept,scheme,re16-17,be17-18,description
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Diesel Subsidy in Drought and Deficit rainfall affected areas,131.00,91.00,The provision is for Diesel Subsidy in Drought and Deficit Rainfail Affected Areas.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Grants to Damodar Valley Corporation,171.00,326.00,"The provision is for Grants to Damodar Valley Corporation for conducting field level trainings in areas of Soil and Water Conservation, Rain Water Harvesting, Climate Change Adaption and mitigation in Agriculture and allied sectors."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Implementation of Market Intervention Scheme/Price Support Scheme (MIS/PSS),289.00,310.00,"The provision is for Implementation of MIS/PSS. NAFED, Central Warehousing Corproation, National Consumer Cooperative Federation of India, Small Farmers Agro Business..."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Information Technology,364.00,599.00,The provision is for Strengtheing/ promoting Agriculture Information System and National E-Governance Plan Agriculture relating to Information & Technology.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Integrated Scheme on Agricultural Cooperation,957.00,992.00,The provision is for Integrated Scheme for Agricultural Cooperation.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Integrated Scheme on Agriculture Census & Statistics,96.00,89.00,The provision is for Integrated Scheme on Agriculture Census and Statistics.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Integrated Scheme on Agriculture Marketing,704.00,607.00,(a) Provision is for Integrated Scheme on Agricultural Marketing (ISAM) which includes existing sub-schemes i.e. (i) Agricultural Marketing Infrastrucuture (AMI) (ii) Marketing Research and Information Network (MRIN) (iii) Strenghening of Agmark Grading Facilities (SAGF) (iv) Agri-Business Development (ABD) through Venture Capital Assistance (VCA) and Project Development Facility (PDF) and (v) Choudhary Charan Singh National Institue of Agriculture Marketing (NIAM).
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Interest Subsidy for Short Term Credit to Farmers ,216.00,189.00,"The provision is for interest subsidy to NABARD, Regional Rural Banks, Cooperative Banks, Public Sector Banks and scheduled Private Sector Banks for providing Short Term Credit to farmers at subsidized rate of interest.
"
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",National Food Security Mission,533.00,539.00,"Provision is for National Food Security Mission to enhance the production of Rice, Wheat , Pulses, coarse cereals and commercial crops to make the country self-sufficient in food grains...`500 crore is earmarked for enhancing the production of Pulses..."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",National Mission on Horticulture,1103.00,779.00,The provision is for National Mission on Horticulture. Existing Schemes/Programmes of Horticulture have been subsumed in it.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",National Mission on Oil Seed & Oil Palm,278.00,404.00,"Provision is for National Mission on Oilseed and Oil Palm, including provision for Directorate of Oilseeds Development."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",National Project on Agro Forestry,55.00,59.00,"The provision is for National Project on Agro- Forestry under National Mission on Sustainable Agriculture (NMSA) to give specific focus on Development of Agro-Forestry. National Agro-Forestry Policy was brought out in 2014 to bring about coordination, convergence and synergy among various elements of Agro-Forestry."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",National Project on Organic Farming / Value Chain Development for North East Region,326.00,243.00,Provision under National Project on Promotion of Organic Farming is for promotion and capitalization of vast potential of organic farming at National level. Provision is to capitalize the vast potential of Organic Farming in the North East region. A new Central Sector Scheme ' Organic Value Chain Development for North East Region' has been launched for its implementation in NE State.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",National Project on Soil Health & Fertility,569.00,459.00,Provision is for National Project on Management of Soil Health and Fertility.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",National Rainfed Area Authority,710.00,622.00,Provision is for National Rainfed Area Authority (NRAA) which is policy making and advisory body
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",NMSA - Rainfed Area Development and Climate Change,855.00,938.00,The provision is for National Mission on Sustainable Agriculture (Rainfed Area Development & Climate Change)
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Paramparagat Krishi Vikas Yojana,1297.00,946.00,Provision is for Parampragat Krishi Vikas Yojna.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Pradhan Mantri Fasal Bima Yojna,97.00,119.00,"National Crop Insurance Scheme which includes existing National Agriculture Insurance Scheme (NAIS), Weather-based crop insurance scheme, Modified National Agricultural Insurance Scheme (MNAIS) being implemented through Agriculture Insurance Corporation and Coconut Palm Insurance Scheme."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Pradhan Mantri Krishi Sinchai Yojana (PMKSY),488.00,533.00,"PMKSY will provide end to end solutions in irrigation supply chain, viz. water sources, distribution network and farm level application. This programme will mainly focus and ensuring access to water to every agriculture farm (Har Khet Ko Pani) and increasing agricultural production and productivity by increasing availability and efficient use of water."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Rashtriya Krishi Vikas Yojana (RKVY),779.00,528.00,"RKVY is designed as a programme for achieving high growth in agricultural sector and for integrated development by focussing on food security, sustainable agriculture, production of oil seeds, oil palm and through agricultural extension, as a part of Krishonnati Yojana (State)."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Soil and Land Use Survey of India,411.00,432.00,Provision is for Soil and Land Use Survey of India.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Agricultural Extension,403.00,572.00,"The goal of the mission is extension for all and reaching the unreached to improve the income and livelihoods of farming community especially the small and marginal farmers and contribute to the achievement of faster, sustainable and more inclusive growth."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Agriculture Mechanisation,407.00,288.00,"The provision is for sub-mission on Agriculture Mechanisation which is for Farm Machinery Training and Testing Institutes. They provide training to the progressive farmers technicians, nominees of State Governments and Agro Industries Corporations, farming institutions and engineering entrepreneurs. The provision is also for demonstration of newly developed agricultural equipment including horticultural equipment at farmers field and post harvest technology and management."
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Plant Protection & Plant Quarantine,893.00,937.00,The provision is for restructured scheme Sub-Mission on Plant Protection and Plant Quarantine. Existing schemes of Plant Protection and Plant Quarantine have been subsumed in it. The provision is for National Institute Plant Health Management to promote environmentally sustainable Plant Health Management practices in diverse and changing agro-climatic condtions and Bio-Security & Incursion Management besides extending policy support to Central and State Government.
Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Seed and Planting Material,106.00,109.00,"For addressing national priorities and objectives of adequate production of seed and planting material, hybrids, promotion of new technologies like tissue culture etc. restructured scheme Sub-Mission on Seeds and Planting Material has been launched. Existing schemes of seed division will be subsumed in it. This includes provision for Protection of Plant Varieties of Farmers Rights legislation and National Seeds Research Training Centre."
Ministry of Agriculture and Farmers Welfare,"Department of Animal Husbandry, Dairying and Fisheries",Blue Revolution - Integrated Development and Management of Fisheries,437.00,753.00,"The provision is for different schemes under Blue Revolution, viz Integrated Development and Management of Fisheries, Assistance to Fisheries Institute, Costal Aquaculture Authority and Package for Replacement of Fishing Vessels Seized by Pakistan."
Ministry of Agriculture and Farmers Welfare,"Department of Animal Husbandry, Dairying and Fisheries",White Revolution - Rashtriya Pashudhan Vikas Yojna,276.00,403.00,"The provision is for different schemes of White Revolution-Rashtriya Pashudhan Vikas Yojna viz National Diary Plan/National Programme for Dairy Development, Dairy Entrepreneurship, Assistance to Cattle Institutes, Indigenous Breeds, National Programme for Bovine Breeding ,Delhi Milk Scheme, supporting state co-operative Dairy Federations and Livestock Census, Integrated Sample Survey, Livestock Health and Disease Control Programme and National Livestock Mission."
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,Consumer Protection,977.00,746.00,"The provision has been made for Consumer Protection and Secretariat expenditure of National Consumer Disputes Redressal Commission, Consumer Protection Cell and strengthening of PMC. This also includes provision for Consumer Helpline, Advertisement & Publicity under Consumer Awareness, Net working Programme of Consumer Fora at States/UT level as well as Strengthening of Consumer Fora.
"
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,Legal Metrology and Quality Assurance,856.00,849.00,"Strengthening W&M Infrastructure, RRSLs & IILM: Provision is for Secretariat expenditure on Weights and Measures Unit, Regional Reference Standard Laboratories & Indian Institute of Legal Metrology and includes provision for Major works and Machinery & Equipment for Regional Reference Standard Laboratories. This also includes provision for the programme of Strengthening of Weights & Measures Infrastructure at States/UT level."
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,Price Stabilization Fund,479.00,553.00,The provision is for Price Stabilization Fund. Earlier the scheme was with Ministry of Agriculture.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,Projects under Consumer Welfare Fund,87.00,142.00,The provision is for Schemes governed under the Consumer Welfare Fund.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,Subsidy on Import of Pulses,135.00,189.00,"The provision is for re-imbursement of losses to MMTC, PEC, STC and NAFED on import of pulses as well as Distribution of imported pulses to State Governments."
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Assistance to State/UT,297.00,477.00,"This provision is to provide assistance to State/UT s for meeting expenditure on intra state movement, handling of Food Grains and Fair Price Shop (FPS) and dealers' margin under National Food Security Act (NFSA)"
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Financial assistance to Sugar Undertakings/Other Expenditure of Sugar Development Fund (SDF),600.00,885.00,The expenditure is met out of the SDF for making payment of agency commission to National Cooperative Development Corporation (NCDC) and Industrial Finance Corporation of India (IFCI) and also includes grants to sugar mills.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Food Subsidy,26.00,44.00,Making it so people can afford food.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Incentive for marketing and promotion services for Raw Sugar Production,387.00,692.00,This provision is to provide incentive to Sugar Mills who have produced and exported raw sugar on or after 28.02.2014 so that the Mills are in a position to pay cane price arrears to the farmers.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,"Interest subvention on scheme for extending soft loan to Sugar Mills, 2015",741.00,697.00,"This provision is to provide soft loans to the sugar industry to clear the outstanding dues of cane farmes for sugar season 2014-15. The Government has provided one year moratorium on this loan and will bear the interest subvention cost to the extent of 10 percent, which is to be released in advance to nodal Banks. The entire amount will be met from Sugar Development Fund (SDF)."
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Loans for Rehabilitation and Modernisation of Sugar Mills,933.00,828.00,The expenditure is for providing concessional loans for rehabilitation and modernisation of sugar factories and is met from the Sugar Development Fund.
