category,scheme,2016-17,2017-18 (BE),2017-18 (RE),2018-19 (BE),change be-be,change re-be,description
Core Schemes,Pradhan Mantri Krishi Sinchai Yojna,5134,7377,7392,9429,28%,28%,
Core Schemes,Pradhan Mantri Gram Sadak Yojna,17923,19000,16900,19000,0%,0%,Aimed at providing all weather road connectivity in rural areas of India to improve livelihood opportunities.
Core Schemes,Pradhan Mantri Awas Yojna(PMAY),20952,29043,29043,27505,-5%,-5%,
Core Schemes,National Rural Drinking Water Mission,5980,6050,7050,7000,16%,16%,"Goal is to provide adequate safe water for drinking, cooking and other domestic needs to rural Indians."
Core Schemes,Swachh Bharat Mission,12619,16248,19248,17843,10%,10%,
Core Schemes,National Health Mission,22870,27131,31292,30634,13%,13%,
Core Schemes,National Education Mission,27616,29556,29556,32613,10%,10%,
Core Schemes,National Programme of Mid Day Meal in Schools,9475,10000,10000,10500,5%,5%,Provides free lunches to primary and upper primary students at government schools.
Core Schemes,Umbrella ICDS,15893,20755,19963,23088,11%,11%,
Core Schemes,Mission for Protection and Empowerment  for Women,793,1089,988,1366,25%,25%,
Core Schemes,National Livelihood Mission - Ajeevika,3486,4849,4699,6060,25%,25%,
Core Schemes,Jobs and Skill Development,1817,4089,2905,5071,24%,24%,Aimed at training 40 crore Indians in different skills by 2022.
Core Schemes,"Environment, Forestry and Wildlife",795,962,975,1019,6%,6%,
Core Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,9277,9000,8999,12169,35%,35%,
Core Schemes,Modernisation of Police Forces,2230,2022,2577,3157,56%,56%,
Core Schemes,Infrastructure Facilities for Judiciary,542,629,629,630,0%,0%,Provides funding for construction of court buildings and residential complexes for judges.
Core Schemes,Border Area Development Programme,1015,1100,1100,771,-30%,-30%,Scheme to meet special developmental needs of people living in border areas.
Core Schemes,Shyama Prasad Mukherjee Rurban Mission,599,1000,600,1200,20%,20%,"Aimed at stimulating local economic development, enhancing basic services and creating well planned Rurban clusters."
Core Schemes,Rashtriya Swasthya Bima Yojna Major Central Sector Schemes,1380,1000,471,2000,100%,100%,
Core Schemes,Crop Insurance Scheme,11052,9000,10698,13000,44%,44%,"Provides insurance cover to food crops, oilseeds and commercial crops with known yielding patters."
Core Schemes,Interest Subsidy for Short Term Credit to Farmers,13397,15000,14750,15000,0%,0%,
Core Schemes,Crop Science,1348,387,400,800,107%,107%,
Core Schemes,Agricultural Universities and Institutions,661,663,658,685,3%,3%,
Core Schemes,Regional Connectivity Scheme,0,0,200,1014,N/A,N/A,
Core Schemes,Interest Equalisation Scheme (Department of Commerce),1000,1100,2000,2500,127%,127%,
Core Schemes,National Industrial Corridor Development and Implementation Trust (NICDIT),500,1032,797,1097,6%,6%,
Core Schemes,Green Revolution,10105,13741,11185,13909,1%,1%,Aimed at increasing agricultural productivity.
Core Schemes,White Revolution,1309,1634,1633,2220,36%,36%,Aimed at increasing milk and dairy production in India.
Core Schemes,Blue Revolution,388,401,302,643,60%,60%,Scheme for integrated development and management of fisheries.
Core of the Core Schemes,Mahatma Gandhi National Rural Employment Guarantee Program,48215,48000,55000,55000,15%,15%,
Core of the Core Schemes,National Social Assistance Program,8854,9500,8745,9975,5%,5%,
Core of the Core Schemes,Umbrella Programme for Development of Minorities,2790,4072,4075,4580,12%,12%,
Core of the Core Schemes,Umbrella Programme for Development of Other Vulnerable Groups,1507,1580,1630,2287,45%,45%,
Core of the Core Schemes,Umbrella Programme for Development of Scheduled Tribes,3319,3490,3512,3806,9%,9%,
Core of the Core Schemes,Umbrella Scheme for Development of Schedule Castes,4863,5114,5114,5183,1%,1%,
Core Schemes,Amended Technology Upgradation Fund Scheme(ATUFS),2622,2013,1956,2300,14%,14%,
Core Schemes,Biotechnology Research and Development,1013,1251,1252,1350,8%,8%,
Core Schemes,Border Infrastructure and Management,1614,2600,2040,1750,-33%,-33%,
Core Schemes,Capacity Building- Panchayat Sashaktikaran Abhiyaan (PSA) / Rashtriya Gram Swaraj Abhiyan (RGSA),593,692,638,721,4%,4%,
Core Schemes,Central Silk Board,497,565,600,501,-11%,-11%,
Core Schemes,Compensation to Service Providers for creation and augmentation of telecom infrastructure-Bharatnet,7226,11636,7000,10000,-14%,-14%,
Core Schemes,Credit Support Programme,716,3002,2802,700,-77%,-77%,
Core Schemes,Deen Dayal Upadhyaya Gram Jyoti Yojna,2966,4814,5400,3800,-21%,-21%,Aimed at strengthening Irural agriculture by providing increasing rural electrification among other steps.
Core Schemes,Education of Minorities girl child,0,687,661,860,25%,25%,
Core Schemes,"Employees Pension Scheme, 1995",4025,4771,5111,4900,3%,3%,
Core Schemes,Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank),900,0,0,600,N/A,N/A,
Core Schemes,"Exhibition-Cum-Convention Centre, Dwarka",0,0,500,700,N/A,N/A,
Core Schemes,Green Energy Corridors - Grid Interactive Renewable Power,200,500,500,600,20%,20%,
Core Schemes,Higher Education Financing Agency (HEFA),0,250,250,2750,1000%,1000%,
Core Schemes,"Innovation, Technology Development and Deployment",550,652,670,720,10%,10%,
Core Schemes,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan) & PRASAD,1069,1060,1050,1250,18%,18%,
Core Schemes,Integrated Power Development Scheme,4366,5821,4372,4935,-15%,-15%,Goal is to strengthen the sub-transmission and distribution system including provisioning of solar panels and IT enablement of distribution sector.
Core Schemes,Khelo India,118,350,350,520,49%,49%,"Aimed at developing sports infrastructure in both rural and urban areas, identifying and nurturing talent."
